batch_size,total_tok_per_sec,per_req_tok_per_sec,latency_ms
1,139.6353074738492,139.6353074738492,358.07562503032386
4,539.6158620912928,134.9039655228232,370.634027000051
8,1061.056546649319,132.63206833116487,376.9827359938063
16,2117.4395385840785,132.3399711615049,377.8148019919172
