prompt_id,ttft_ms,decode_ms,total_ms,tokens_generated,tok_per_sec,peak_mem_gb
0,16.534656524658203,720.745189666748,737.2798461914062,50,69.37264475274344,13.54056692123413
1,16.134016036987305,718.3861255645752,734.5201416015625,50,69.60045332265474,13.540430068969727
2,15.909919738769531,721.604362487793,737.5142822265625,50,69.29004673367093,13.539606094360352
3,16.603071212768555,717.6627979278564,734.265869140625,50,69.67060316400334,13.540292739868164
4,15.964863777160645,712.2865400314331,728.2514038085938,50,70.19646896288887,13.540018081665039
5,15.878432273864746,715.3691873550415,731.2476196289062,50,69.8939804562546,13.540292739868164
6,16.053823471069336,713.4373874664307,729.4912109375,50,70.08323488282656,13.540018081665039
7,16.035871505737305,714.3151416778564,730.3510131835938,50,69.99711623437645,13.540704727172852
8,15.869152069091797,713.5916023254395,729.4607543945312,50,70.06808913818618,13.540567874908447
9,15.946080207824707,713.3748426437378,729.3209228515625,50,70.08937939933803,13.540155410766602
